order_id,customer_id,product_id,product_name,category,unit_price,quantity,order_date,customer_age,customer_gender,country,sales
1,150,9,Tablet,Electronics,611,1,2022-11-14,62,Female,Germany,611
2,176,36,Smartphone,Electronics,751,4,,23,Male,Canada,3004
3,37,22,Jacket,Accessories,821,4,,54,Male,UK,3284
4,143,42,Shoes,Electronics,395,4,,50,Male,Germany,1580
5,163,26,Jacket,Accessories,301,1,2022-02-27,39,Male,Australia,301
6,199,12,Tablet,Clothing,130,1,,38,Female,USA,130
7,160,17,Camera,Clothing,251,1,,23,Female,Australia,251
8,11,14,Laptop,Electronics,776,3,2022-08-27,23,Female,Australia,2328
9,138,14,T-shirt,Accessories,141,1,2022-10-17,21,Female,USA,141
10,78,34,Smartphone,Clothing,826,1,,47,Male,Australia,826
11,77,20,Watch,Accessories,928,1,,28,Female,Germany,928
12,185,11,Watch,Clothing,155,3,2022-04-28,47,Male,Germany,465
13,153,16,Watch,Electronics,776,1,2022-02-17,48,Male,Germany,776
14,2,31,Headphones,Accessories,611,4,2022-03-30,41,Male,USA,2444
15,64,6,Watch,Accessories,912,1,2022-08-25,26,Male,Australia,912
16,35,19,T-shirt,Electronics,751,4,2022-09-29,20,Male,USA,3004
17,7,37,Laptop,Clothing,779,4,,48,Female,Germany,3116
18,85,4,Watch,Clothing,477,4,,57,Female,Australia,1908
19,146,47,Jacket,Clothing,84,3,,54,Female,Australia,252
20,67,4,Jacket,Accessories,141,3,,53,Female,France,423
21,42,20,Headphones,Accessories,141,3,2022-12-15,41,Male,France,423
22,118,10,T-shirt,Accessories,51,1,,48,Female,Canada,51
23,125,24,Laptop,Clothing,614,4,2022-03-17,23,Male,UK,2456
24,167,35,Smartphone,Accessories,611,3,,19,Female,France,1833
25,169,26,Tablet,Electronics,841,3,2022-05-24,37,Male,USA,2523
26,24,37,Laptop,Electronics,992,1,2022-03-27,45,Male,France,992
27,188,38,Tablet,Accessories,102,3,,28,Female,Canada,306
28,46,21,Camera,Electronics,928,1,,21,Male,Australia,928
29,19,40,Tablet,Accessories,798,2,,32,Male,Canada,1596
30,68,39,Shoes,Clothing,826,3,,23,Female,Australia,2478
31,102,21,Jacket,Electronics,611,2,2022-02-16,47,Male,Australia,1222
32,42,10,T-shirt,Clothing,614,1,,55,Female,UK,614
33,32,38,Sunglasses,Accessories,526,4,2022-08-26,19,Female,France,2104
34,167,46,Headphones,Accessories,130,3,2022-07-23,32,Female,USA,390
35,109,4,Shoes,Electronics,320,1,,28,Male,USA,320
36,36,45,Tablet,Electronics,251,4,,25,Male,Germany,1004
37,97,20,Watch,Accessories,251,4,,43,Male,Australia,1004
38,164,17,T-shirt,Electronics,947,2,,62,Female,USA,1894
39,131,7,Shoes,Electronics,921,1,2022-10-16,61,Male,UK,921
40,73,4,Headphones,Clothing,841,4,,22,Female,Australia,3364
